Dificulty,Category,Exercise,Visual Example
Beginner,Bodyweight,1-2 Stick Drill,https://fitnessprogramer.com/wp-content/uploads/2023/04/1-2-Stick-Drill-Plyometrics.gif
Beginner,Bodyweight,4 Point Tummy Vacuum Exercise,https://fitnessprogramer.com/wp-content/uploads/2022/02/4-Point-Tummy-Vacuum-Exercise.gif
Beginner,Freeweight,45 Degree Incline Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
Beginner,Bodyweight,5 Dot Drills,https://fitnessprogramer.com/wp-content/uploads/2023/12/5-Dot-drills-agility-exercise.gif
Beginner,Stretch,90/90 Hip Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/08/90-90-Hip-Stretch.gif
Beginner,Machine,90-Degree Cable External Rotation,https://fitnessprogramer.com/wp-content/uploads/2022/10/90-Degree-Cable-External-Rotation-.gif
Beginner,Machine,90-degree Cable Internal Rotation,https://fitnessprogramer.com/wp-content/uploads/2023/06/Cable-Shoulder-90-degrees-Internal-Rotation.gif
Beginner,Machine,Ab Coaster Machine,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Coaster-Machine.gif
Beginner,Bodyweight,Ab Roller Crunch,https://fitnessprogramer.com/wp-content/uploads/2021/12/Ab-Roller-Crunch.gif
Beginner,Bodyweight,Ab Straps Leg Raise,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Straps-Leg-Raise.gif
Beginner,Bodyweight,Ab Wheel Rollout,https://fitnessprogramer.com/wp-content/uploads/2021/06/Ab-Wheel-Rollout.gif
Beginner,Bodyweight,Abdominal Bracing,https://fitnessprogramer.com/wp-content/uploads/2022/08/Abdominal-bracing-exercise.png
Beginner,Stretch,Above Head Chest Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/Above-Head-Chest-Stretch.gif
Beginner,Stretch,Across Chest Shoulder Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/04/Across-Chest-Shoulder-Stretch.gif
Beginner,Yoga,Adho Mukha Svanasana | Downward Facing Dog,https://fitnessprogramer.com/wp-content/uploads/2022/05/Adho-Mukha-Svanasana-Downward-Facing-Dog.png
Beginner,Yoga,Adho Mukha Vrksasana Yoga | Handstand Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/handstand-push-up.gif
Beginner,Yoga,Advasana | Reverse Corpse Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Advasana-Reverse-Corpse-Pose.gif
Beginner,Stretch,All Fours Squad Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/10/All-Fours-Squad-Stretch.gif
Beginner,Freeweight,Alternate Dumbbell Bench Press,https://fitnessprogramer.com/wp-content/uploads/2021/09/Alternate-Dumbbell-Bench-Press.gif
Beginner,Freeweight,Alternate Dumbbell Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2022/12/Alternate-Dumbbell-Lateral-Raise.gif
Beginner,Bodyweight,Alternate Leg Raises,https://fitnessprogramer.com/wp-content/uploads/2022/08/Alternate-Leg-Raises.gif
Beginner,Bodyweight,Alternate Lying Floor Leg Raise,https://fitnessprogramer.com/wp-content/uploads/2021/05/Alternate-Lying-Floor-Leg-Raise.gif
Beginner,Freeweight,Alternating Dumbbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Alternating-Dumbbell-Front-Raise.gif
Beginner,Freeweight,Alternating Lying Dumbbell Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Alternating-Lying-Dumbbell-Triceps-Extension.gif
Beginner,Bodyweight,Alternating Shoulder Flexion,https://fitnessprogramer.com/wp-content/uploads/2023/06/Back-to-Wall-Alternating-Shoulder-Flexion.gif
Beginner,Yoga,Anjaneyasana | Low Lunge Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Anjaneyasana-Low-Lunge-Pose.gif
Beginner,Yoga,Anuvittasana | Standing Backbend Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Anuvittasana-Standing-Backbend-Pose.gif
Intermediate,Bodyweight,Archer Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/01/Archer-Pull-up.gif
Intermediate,Bodyweight,Archer Push-Up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Archer-Push-Up.gif
Beginner,Yoga,Ardha Kapotasana - Half Pigeon Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Ardha-Kapotasana-Half-Pigeon-Pose.png
Beginner,Yoga,Ardha Uttanasana | Standing Half Forward Bend,https://fitnessprogramer.com/wp-content/uploads/2022/05/Ardha-Uttanasana-Standing-Half-Forward-Bend.gif
Beginner,Freeweight,Arm Blaster Hammer Curl,https://fitnessprogramer.com/wp-content/uploads/2021/08/Arm-Blaster-Hammer-Curl.gif
Beginner,Bodyweight,Arm Circles,https://fitnessprogramer.com/wp-content/uploads/2021/07/Arm-Circles_Shoulders.gif
Beginner,Bodyweight,Arm Leg Raises,https://fitnessprogramer.com/wp-content/uploads/2021/02/arm-leg-raise.gif
Beginner,Bodyweight,Arm Scissors,https://fitnessprogramer.com/wp-content/uploads/2022/02/Arm-Scissors.gif
Beginner,Freeweight,Arnold Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Arnold-Press.gif
Beginner,Machine,Assault AirBike,https://fitnessprogramer.com/wp-content/uploads/2022/06/Assault-AirBike.gif
Beginner,Bodyweight,Assisted Chest Dip,https://fitnessprogramer.com/wp-content/uploads/2021/06/Assisted-Chest-Dip.gif
Beginner,Bodyweight,Assisted Pull-up,https://fitnessprogramer.com/wp-content/uploads/2021/04/Assisted-Pull-up.gif
Beginner,Stretch,Assisted Reverse Stretch (Chest And Shoulder),https://fitnessprogramer.com/wp-content/uploads/2022/02/Reverse-Shoulder-Stretch.gif
Beginner,Bodyweight,Assisted Triceps Dips,https://fitnessprogramer.com/wp-content/uploads/2022/11/Asisted-Triceps-Dips.gif
Beginner,Bodyweight,Astride Jumps,https://fitnessprogramer.com/wp-content/uploads/2021/05/Astride-Jumps.gif
Beginner,Bodyweight,ATG Split Squat,https://fitnessprogramer.com/wp-content/uploads/2022/12/ATG-Split-Squat.gif
Beginner,Stretch,Back and Pec Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/05/Back-Pec-Stretch.gif
Advanced,Bodyweight,Back Lever,https://fitnessprogramer.com/wp-content/uploads/2023/06/Back-Lever.gif
Beginner,Stretch,Back Slaps Wrap Around Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/12/Back-Slaps-Wrap-Around-Stretch.gif
Beginner,Bodyweight,Backward Jump,https://fitnessprogramer.com/wp-content/uploads/2021/05/Backward-Jumping.gif
Beginner,Freeweight,Backward Medicine Ball Throw,https://fitnessprogramer.com/wp-content/uploads/2023/05/Backward-Medicine-Ball-Throw.gif
Beginner,Bodyweight,Backward Running,https://fitnessprogramer.com/wp-content/uploads/2021/08/Backwards-Running.gif
Beginner,Yoga,Baddha Konasana | Butterfly Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Badhakonasana-Butterfly-Pose-1.gif
Beginner,Yoga,Balasana | Child Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Balasana-Child-Pose.gif
Intermediate,Freeweight,Ball Russian Twist throw with partner,https://fitnessprogramer.com/wp-content/uploads/2022/09/Ball-Russian-Twist-throw-with-partner.gif
Beginner,Freeweight,Band Alternate Incline Chest Press,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Alternate-Incline-Chest-Press-.gif
Beginner,Freeweight,Band Alternating Lat Pulldown,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Alternating-Lat-Pulldown.gif
Beginner,Freeweight,Band Alternating Low Row with Twist,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Alternating-Low-Row-with-Twist.gif
Beginner,Freeweight,Band Assisted Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/08/band-assisted-pull-up.gif
Beginner,Freeweight,Band Assisted Sprinter Run,https://fitnessprogramer.com/wp-content/uploads/2021/10/Band-Assisted-Sprinter-Run.gif
Beginner,Freeweight,Band Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Biceps-Curl.gif
Beginner,Freeweight,Band Foot External Rotation,https://fitnessprogramer.com/wp-content/uploads/2022/02/Resistance-Band-Foot-External-Rotation.gif
Beginner,Freeweight,Band Front Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2022/07/Band-Front-Lateral-Raise.gif
Beginner,Freeweight,Band Lying Hip External Rotation,https://fitnessprogramer.com/wp-content/uploads/2022/04/Band-Lying-Hip-External-Rotation.gif
Beginner,Freeweight,Band Pull-Apart,https://fitnessprogramer.com/wp-content/uploads/2021/06/Band-pull-apart.gif
Beginner,Freeweight,Band Pushdown,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Pushdown.gif
Beginner,Freeweight,Band Pushdown (Neutral Grip),https://fitnessprogramer.com/wp-content/uploads/2022/07/Triceps-Extension-with-Resistance-Bands.gif
Beginner,Freeweight,Band Seated Hip External Rotation,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Seated-Hip-External-Rotation.gif
Beginner,Freeweight,Band Seated Hip Internal Rotation,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Seated-Hip-Internal-Rotation.gif
Beginner,Freeweight,Band Seated Row,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Seated-Row.gif
Beginner,Freeweight,Band Side Lying Clam,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Side-Lying-Clam.gif
Beginner,Freeweight,Band Side Lying Leg Lift,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Side-Lying-Leg-Lift.gif
Beginner,Freeweight,Band Single Arm Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Single-Arm-Shoulder-Press.gif
Beginner,Freeweight,Band Skull Crusher,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Skull-Crusher.gif
Beginner,Freeweight,Band Standing Chest Press,https://fitnessprogramer.com/wp-content/uploads/2022/01/Band-Standing-Chest-Press.gif
Beginner,Freeweight,Banded Donkey Kicks,https://fitnessprogramer.com/wp-content/uploads/2021/02/Banded-Donkey-Kicks.gif
Beginner,Freeweight,Banded Fire Hydrant,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Fire-Hydrant.gif
Beginner,Freeweight,Banded Glute Bridge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Glute-Bridge.gif
