Category,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Saturated fat
Dairy,"Cows' milk, whole",1 qt.=4cups*,976,660,32,48,0,40,36
Dairy,"Cows' milk, skimmed",1 qt.,984,360,36,52,0,>0,>0
Dairy,"Buttermilk, cultured",1 cup,246,127,9,13,0,5,4
Dairy,"Evaporated, undiluted",1 cup,252,345,16,24,0,20,18
Dairy,Fortified milk,6 cups,"1,419","1,373",89,119,1.4,42,23
Dairy,"Powdered milk, whole",1 cup,103,515,27,39,0,28,24
Dairy,"Powdered milk skim, instant",1 1/3 cups,85,290,30,42,0,>0,>0
Dairy,"Powdered milk skim, non-instant",2/3 cup,85,290,30,42,1,>0,>0
Dairy,"Goats' milk, fresh",1 cup,244,165,8,11,0,10,8
Dairy,Malted milk (1/2 cup ice cream),2 cups,540,690,24,70,0,24,22
Dairy,Cocoa,1 cup,252,235,8,26,0,11,10
Dairy,"Yogurt, of partially skimmed milk",1 cup,250,128,18,13,1,4,3
Dairy,Milk pudding (cornstarch),1 cup,248,275,9,40,0,10,9
Dairy,"Custard, baked",1 cup,248,285,13,28,0,14,11
Dairy,"Ice cream, commercial",1 cup,188,300,6,29,0,18,16
Dairy,"Ice milk, commercial",1 cup,190,275,9,32,0,10,9
Dairy,"Cream, light, or half-and-half",1/2 cup,120,170,4,5,0,15,13
Dairy,"Cream, heavy, or whipping",1/2 cup,119,430,2,3,1,44,27
Dairy,"Cheese, cottage, creamed",1 cup,225,240,30,6,0,11,10
Dairy,"Cheese, uncreamed",1 cup,225,195,38,6,0,>0,>0
Dairy,"Cheddar, or American",1-in. cube,17,70,4,>0,0,6,5
Dairy,"Cheddar, grated cup",1/2 cup,56,226,14,1,0,19,17
Dairy,Cream cheese,1 oz.,28,105,2,1,0,11,10
Dairy,Processed cheese,1 oz.,28,105,7,>0,0,9,8
Dairy,Roquefort type,1 oz.,28,105,6,>0,0,9,8
Dairy,Swiss,1 oz.,28,105,7,>0,0,8,7
Dairy,"Eggs, boiled, poached, or raw",2,100,150,12,>0,0,12,10
Dairy,"Scrambled, omelet, or fried",2,128,220,13,1,0,16,14
Dairy,Egg yolks only,2,34,120,6,>0,0,10,8
"Oils, Fats, Shortenings",Butter,1T.,14,100,>0,>0,0,11,10
"Oils, Fats, Shortenings",Butter ,1/2 cup,112,800,>0,1,0,90,80
"Oils, Fats, Shortenings",Hydrogenated cooking fat,1/2 cup,100,665,0,0,0,100,88
"Oils, Fats, Shortenings",Lard,1/2 cup,110,992,0,0,0,110,92
"Oils, Fats, Shortenings","Margarine, 1/2 pound or",1/2 cup,112,806,>0,>0,0,91,76
"Oils, Fats, Shortenings","Margarine, 2 pat or",1 T.,14,100,>0,>0,0,11,9
"Oils, Fats, Shortenings",Mayonnaise,1 T.,15,110,>0,>0,0,12,5
"Oils, Fats, Shortenings","Corn oil, soy oil, peanut oil, cottonseed oil",1 T.,14,125,0,0,0,14,5
"Oils, Fats, Shortenings",Olive oil,1T.,14,125,0,0,0,14,3
"Oils, Fats, Shortenings","Safflower oil, sunflower oil, seed, walnut",1 T.,14,125,0,0,0,14,3
"Oils, Fats, Shortenings",French Salad dressing,1 T.,15,60,>0,2,0,6,2
"Oils, Fats, Shortenings",Thousand Island Salad dressing,1 T.,15,75,>0,1,0,8,3
"Oils, Fats, Shortenings",Salt pork,2 oz.,60,470,3,0,0,55,45
Meat and poultry,"Bacon, crisp, drained",2 slices,16,95,4,1,0,8,7
Meat and poultry,"Beef, chuck, pat-roasted",3 oz.,85,245,23,0,0,16,15
Meat and poultry,"Hamburger, commercial",3 oz.,85,245,21,0,0,17,15
Meat and poultry,Ground lean,3 oz.,85,185,24,0,0,10,9
Meat and poultry,Roast beef,3 oz,85,148,23,6.1,0,2.4,>0
Meat and poultry,"Roast beef, oven-cooked",3 oz.,85,390,16,0,0,36,35
Meat and poultry,"Steak, as sirloin",3 oz.,85,330,20,0,0,27,25
Meat and poultry,"Steak, lean, as round",3 oz.,85,220,24,0,0,12,11
Meat and poultry,Corned beef,3 oz.,85,185,22,0,0,10,9
Meat and poultry,"Corned beef hash, canned",3 oz.,85,120,12,6,>0,8,7
Meat and poultry,Dried or chipped,2 oz.,56,115,19,0,0,4,4
Meat and poultry,"Pot-pie, 4 1/2"" diameter",1 pie,227,480,18,32,>0,28,25
Meat and poultry,"Stew, with vegetables",1 cup,235,185,15,15,>0,10,9
Meat and poultry,chicken; broiled,3 oz.,85,185,23,0,0,9,7
Meat and poultry,"Fried, breast or leg and thigh",3 oz.,85,245,25,0,0,15,11
Meat and poultry,"chicken, roasted",3 1/2 oz.,100,290,25,0,0,20,16
